,variable,precision,recall,f1,auc,auc+f1+prec,data_fill,transformation,resample,classifier
0,var3_woe,0.9518680869157149,0.8381985965264868,0.8899967649351462,0.5097927967361037,2.351657648586965,mean,stdscl_WOE-ori,upsample,LR
1,var4_woe,0.9661148009650569,0.2888676748898826,0.4192003081304945,0.5828951579359718,1.9682102670315231,mean,stdscl_WOE-ori,upsample,LR
2,var7_woe,0.9550731784768716,0.10641611817313973,0.15429862104330141,0.5068347906556003,1.6162065901757734,mean,stdscl_WOE-ori,upsample,LR
3,var5_woe,0.9506160189630803,0.9749953943291632,0.9626513780159688,0.5,2.413267396979049,mean,stdscl_WOE-ori,upsample,LR
4,var6_woe,0.9506160189630803,0.9749953943291632,0.9626513780159688,0.5,2.413267396979049,mean,stdscl_WOE-ori,upsample,LR
5,var2_woe,0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5588177009637112,1.7986778976468563,mean,stdscl_WOE-ori,upsample,LR
6,var1_woe,0.953578891032674,0.8876216315798289,0.9184087621051541,0.5374143511182827,2.409402004256111,mean,stdscl_WOE-ori,upsample,LR
7,var8_woe,0.9494841610202641,0.7649600562729236,0.845395544688616,0.5036821724780229,2.298561878186903,mean,stdscl_WOE-ori,upsample,LR
8,var1,0.9537630053883659,0.9220218057579259,0.9372112438573118,0.5687123138247371,2.4596865630704148,mean,stdscl_WOE-ori,upsample,LR
9,var2,0.9508908111110771,0.5988544440536603,0.7285261304414596,0.5389186916986338,2.2183356332511703,mean,stdscl_WOE-ori,upsample,LR
10,var3,0.9513192341801189,0.8182853506171599,0.8782076266172913,0.5169019427015964,2.3464288034990064,mean,stdscl_WOE-ori,upsample,LR
11,var4,0.9573431802650695,0.9365254819206484,0.9463805593045673,0.6413925399286726,2.5451162794983095,mean,stdscl_WOE-ori,upsample,LR
12,var5,0.9656729108636571,0.028220201309685305,0.007698614440980305,0.489724941486361,1.4630964667909985,mean,stdscl_WOE-ori,upsample,LR
13,var6,0.9504944128255178,0.950526721264801,0.9505105666518535,0.4925639885495603,2.3935689680269316,mean,stdscl_WOE-ori,upsample,LR
14,var7,0.9517822429013457,0.9499405449764692,0.9508591248920366,0.5121959023470898,2.414837270140472,mean,stdscl_WOE-ori,upsample,LR
15,var8,0.9505832315233137,0.7836172101358254,0.8571123837608154,0.550646138624469,2.358341753908598,mean,stdscl_WOE-ori,upsample,LR
16,"var3_woe,var4_woe",0.9659208634464682,0.2900902711484031,0.42076251386189845,0.6116644577263638,1.9983478350347306,mean,stdscl_WOE-ori,upsample,LR
17,"var3_woe,var7_woe",0.9518680869157149,0.8381985965264868,0.8899967649351462,0.5161273140718708,2.357992165922732,mean,stdscl_WOE-ori,upsample,LR
18,"var3_woe,var5_woe",0.9518680869157149,0.8381985965264868,0.8899967649351462,0.5097927967361037,2.351657648586965,mean,stdscl_WOE-ori,upsample,LR
19,"var3_woe,var6_woe",0.9518680869157149,0.8381985965264868,0.8899967649351462,0.5097927967361037,2.351657648586965,mean,stdscl_WOE-ori,upsample,LR
20,"var3_woe,var2_woe",0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5622625997037524,1.8021227963868975,mean,stdscl_WOE-ori,upsample,LR
21,"var3_woe,var1_woe",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5314601356189174,2.4034477887567456,mean,stdscl_WOE-ori,upsample,LR
22,"var3_woe,var8_woe",0.9494841610202641,0.7649600562729236,0.845395544688616,0.5098281467608309,2.304707852469711,mean,stdscl_WOE-ori,upsample,LR
23,"var3_woe,var1",0.9539619161393956,0.9044867607898307,0.9277985841426132,0.5690364813175608,2.4507969815995696,mean,stdscl_WOE-ori,upsample,LR
24,"var3_woe,var2",0.9508758785171553,0.5985027382806613,0.7282528679492442,0.537015105810534,2.2161438522769332,mean,stdscl_WOE-ori,upsample,LR
25,"var3_woe,var3",0.9513219940426783,0.8183690900869216,0.8782577491206068,0.5169019427015964,2.346481685864881,mean,stdscl_WOE-ori,upsample,LR
26,"var3_woe,var4",0.9572763216441819,0.9346832135858916,0.9453576879359853,0.639956753659904,2.5425907632400713,mean,stdscl_WOE-ori,upsample,LR
27,"var3_woe,var5",0.9518686355238829,0.8382153444204391,0.890006595761783,0.5033378937262168,2.345213125011883,mean,stdscl_WOE-ori,upsample,LR
28,"var3_woe,var6",0.9518680869157149,0.8381985965264868,0.8899967649351462,0.504636243470859,2.3465010953217202,mean,stdscl_WOE-ori,upsample,LR
29,"var3_woe,var7",0.9518487413947458,0.84015810011891,0.8911331713282162,0.5154779953833385,2.3584599081063007,mean,stdscl_WOE-ori,upsample,LR
30,"var3_woe,var8",0.9505920581316514,0.783248756468874,0.8568848890342845,0.555735805846182,2.363212753012118,mean,stdscl_WOE-ori,upsample,LR
31,"var4_woe,var7_woe",0.9660665995612197,0.289185884874977,0.4196066654018924,0.5852360946751552,1.9709093596382674,mean,stdscl_WOE-ori,upsample,LR
32,"var4_woe,var5_woe",0.9661148009650569,0.2888676748898826,0.4192003081304945,0.5828951579359718,1.9682102670315231,mean,stdscl_WOE-ori,upsample,LR
33,"var4_woe,var6_woe",0.9661148009650569,0.2888676748898826,0.4192003081304945,0.5828951579359718,1.9682102670315231,mean,stdscl_WOE-ori,upsample,LR
34,"var4_woe,var2_woe",0.9660073152684697,0.2892026327689293,0.41964125566992583,0.6365051013105822,2.0221536722489777,mean,stdscl_WOE-ori,upsample,LR
35,"var4_woe,var1_woe",0.9659886404179799,0.29030799376978345,0.4210165728172475,0.6095931591253434,1.996598372360571,mean,stdscl_WOE-ori,upsample,LR
36,"var4_woe,var8_woe",0.9659333795136597,0.29042522902744977,0.42117470475034413,0.5983371647506052,1.9854452490146088,mean,stdscl_WOE-ori,upsample,LR
37,"var4_woe,var1",0.9659655752671354,0.289688321693547,0.42025367433836475,0.6112873486098518,1.997506598215352,mean,stdscl_WOE-ori,upsample,LR
38,"var4_woe,var2",0.9662826582972613,0.2951481351220084,0.42692218572722357,0.6273269232875586,2.0205317673120433,mean,stdscl_WOE-ori,upsample,LR
39,"var4_woe,var3",0.9659239952562475,0.2901740106181648,0.42086558227907994,0.6135760282905127,2.00036560582584,mean,stdscl_WOE-ori,upsample,LR
40,"var4_woe,var4",0.9657875842824787,0.29129611951297124,0.4222868970959232,0.6413925399286726,2.0294670213070747,mean,stdscl_WOE-ori,upsample,LR
41,"var4_woe,var5",0.9661148009650569,0.2888676748898826,0.4192003081304945,0.578338657677931,1.9636537667734824,mean,stdscl_WOE-ori,upsample,LR
42,"var4_woe,var6",0.9661154185215516,0.2888844227838349,0.4192209663921072,0.5795865854589062,1.964922970372565,mean,stdscl_WOE-ori,upsample,LR
43,"var4_woe,var7",0.9657806295737834,0.29111189267949555,0.4220605602169984,0.5891137076316291,1.976954897422411,mean,stdscl_WOE-ori,upsample,LR
44,"var4_woe,var8",0.9659277509687703,0.29027449798187877,0.420989246165817,0.628705603015161,2.015622600149748,mean,stdscl_WOE-ori,upsample,LR
45,"var7_woe,var5_woe",0.9550731784768716,0.10641611817313973,0.15429862104330141,0.5068347906556003,1.6162065901757734,mean,stdscl_WOE-ori,upsample,LR
46,"var7_woe,var6_woe",0.9550731784768716,0.10641611817313973,0.15429862104330141,0.5068347906556003,1.6162065901757734,mean,stdscl_WOE-ori,upsample,LR
47,"var7_woe,var2_woe",0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5613639324681411,1.801224129151286,mean,stdscl_WOE-ori,upsample,LR
48,"var7_woe,var1_woe",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5472908488893384,2.4192785020271668,mean,stdscl_WOE-ori,upsample,LR
49,"var7_woe,var8_woe",0.9494841610202641,0.7649600562729236,0.845395544688616,0.5041107620455166,2.298990467754397,mean,stdscl_WOE-ori,upsample,LR
50,"var7_woe,var1",0.9537630053883659,0.9220218057579259,0.9372112438573118,0.572975135626741,2.4639493848724188,mean,stdscl_WOE-ori,upsample,LR
51,"var7_woe,var2",0.9509127838200978,0.6006297208126078,0.7299102472158931,0.5385810802663817,2.2194041113023726,mean,stdscl_WOE-ori,upsample,LR
52,"var7_woe,var3",0.951330824516774,0.8186370563901589,0.8784181131510148,0.5217788654783198,2.3515278031461087,mean,stdscl_WOE-ori,upsample,LR
53,"var7_woe,var4",0.9573431802650695,0.9365254819206484,0.9463805593045673,0.6477539566485936,2.5514776962182304,mean,stdscl_WOE-ori,upsample,LR
54,"var7_woe,var5",0.9549010214466394,0.10722001708285184,0.15571155988042856,0.4984690361626209,1.609081617489689,mean,stdscl_WOE-ori,upsample,LR
55,"var7_woe,var6",0.9550975227635436,0.10651660553685374,0.15446908598744358,0.5011632027745989,1.6107298115255861,mean,stdscl_WOE-ori,upsample,LR
56,"var7_woe,var7",0.9517822429013457,0.9499405449764692,0.9508591248920366,0.5121959023470898,2.414837270140472,mean,stdscl_WOE-ori,upsample,LR
57,"var7_woe,var8",0.9505599314344919,0.7854427305766299,0.8582391995433561,0.5506510513862457,2.359450182364094,mean,stdscl_WOE-ori,upsample,LR
58,"var5_woe,var6_woe",0.9506160189630803,0.9749953943291632,0.9626513780159688,0.5,2.413267396979049,mean,stdscl_WOE-ori,upsample,LR
59,"var5_woe,var2_woe",0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5588177009637112,1.7986778976468563,mean,stdscl_WOE-ori,upsample,LR
60,"var5_woe,var1_woe",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5374143511182827,2.409402004256111,mean,stdscl_WOE-ori,upsample,LR
61,"var5_woe,var8_woe",0.9494841610202641,0.7649600562729236,0.845395544688616,0.5036821724780229,2.298561878186903,mean,stdscl_WOE-ori,upsample,LR
62,"var5_woe,var1",0.9537630053883659,0.9220218057579259,0.9372112438573118,0.5687123138247371,2.4596865630704148,mean,stdscl_WOE-ori,upsample,LR
63,"var5_woe,var2",0.9508908111110771,0.5988544440536603,0.7285261304414596,0.5389186916986338,2.2183356332511703,mean,stdscl_WOE-ori,upsample,LR
64,"var5_woe,var3",0.9513192341801189,0.8182853506171599,0.8782076266172913,0.5169019427015964,2.3464288034990064,mean,stdscl_WOE-ori,upsample,LR
65,"var5_woe,var4",0.9573431802650695,0.9365254819206484,0.9463805593045673,0.6413925399286726,2.5451162794983095,mean,stdscl_WOE-ori,upsample,LR
66,"var5_woe,var5",0.9656729108636571,0.028220201309685305,0.007698614440980305,0.489724941486361,1.4630964667909985,mean,stdscl_WOE-ori,upsample,LR
67,"var5_woe,var6",0.9504944128255178,0.950526721264801,0.9505105666518535,0.4925639885495603,2.3935689680269316,mean,stdscl_WOE-ori,upsample,LR
68,"var5_woe,var7",0.9517822429013457,0.9499405449764692,0.9508591248920366,0.5121959023470898,2.414837270140472,mean,stdscl_WOE-ori,upsample,LR
69,"var5_woe,var8",0.9505832315233137,0.7836172101358254,0.8571123837608154,0.5506456266387569,2.3583412419228864,mean,stdscl_WOE-ori,upsample,LR
70,"var6_woe,var2_woe",0.9679744552963924,0.1809944899428897,0.2718857413867527,0.5588177009637112,1.7986778976468563,mean,stdscl_WOE-ori,upsample,LR
71,"var6_woe,var1_woe",0.953578891032674,0.8876216315798289,0.9184087621051541,0.5374143511182827,2.409402004256111,mean,stdscl_WOE-ori,upsample,LR
72,"var6_woe,var8_woe",0.9494841610202641,0.7649600562729236,0.845395544688616,0.5036821724780229,2.298561878186903,mean,stdscl_WOE-ori,upsample,LR
73,"var6_woe,var1",0.9537630053883659,0.9220218057579259,0.9372112438573118,0.5687123138247371,2.4596865630704148,mean,stdscl_WOE-ori,upsample,LR
74,"var6_woe,var2",0.9508908111110771,0.5988544440536603,0.7285261304414596,0.5389186916986338,2.2183356332511703,mean,stdscl_WOE-ori,upsample,LR
