,variable,precision,recall,f1,auc,auc+f1+prec,data_fill,transformation,resample,classifier
0,var1,0.953763005388366,0.922021805757926,0.9372112438573118,0.5687123138247371,2.4596865630704148,mean,stdscl,SMOTE,LR
1,var2,0.9509025221836116,0.5997588303270863,0.7292315854598977,0.5389186916986338,2.2190527993421427,mean,stdscl,SMOTE,LR
2,var3,0.9513219940426784,0.8183690900869216,0.8782577491206068,0.5169019427015964,2.346481685864881,mean,stdscl,SMOTE,LR
3,var4,0.9573431802650696,0.9365254819206484,0.9463805593045672,0.6413925399286726,2.545116279498309,mean,stdscl,SMOTE,LR
4,var5,0.9656729108636573,0.028220201309685305,0.007698614440980305,0.48972494148636103,1.4630964667909985,mean,stdscl,SMOTE,LR
5,var6,0.9504944128255178,0.9505267212648009,0.9505105666518536,0.4925639885495603,2.393568968026932,mean,stdscl,SMOTE,LR
6,var7,0.9517822429013456,0.9499405449764692,0.9508591248920366,0.5121959023470898,2.4148372701404717,mean,stdscl,SMOTE,LR
7,var8,0.9505832315233136,0.7836172101358254,0.8571123837608154,0.5506454828225457,2.358341098106675,mean,stdscl,SMOTE,LR
8,"var1,var2",0.9526302203828668,0.6545244435512234,0.7703631206200109,0.5466578044432719,2.26965114544615,mean,stdscl,SMOTE,LR
9,"var1,var3",0.9529134581576284,0.7986065752231657,0.8664924266263282,0.5554376460770021,2.3748435308609586,mean,stdscl,SMOTE,LR
10,"var1,var4",0.957482796703758,0.9265437371250566,0.9410027543661484,0.6579442268767234,2.55642977794663,mean,stdscl,SMOTE,LR
11,"var1,var5",0.953763005388366,0.922021805757926,0.9372112438573118,0.5648356615605545,2.455809910806233,mean,stdscl,SMOTE,LR
12,"var1,var6",0.953763005388366,0.922021805757926,0.9372112438573118,0.566098206821242,2.45707245606692,mean,stdscl,SMOTE,LR
13,"var1,var7",0.9534992108920664,0.9103317757791958,0.9308295134992792,0.5764169912157519,2.4607457156070978,mean,stdscl,SMOTE,LR
14,"var1,var8",0.9518339928807596,0.7890602756703344,0.8605545041529089,0.5677497346648429,2.380138231698512,mean,stdscl,SMOTE,LR
15,"var2,var3",0.9516579986118396,0.5909326902142056,0.7221963798312699,0.5412155056242035,2.2150698840673133,mean,stdscl,SMOTE,LR
16,"var2,var4",0.9573804578872656,0.9345324825403204,0.9453163834097223,0.6577727864476072,2.5604696277445957,mean,stdscl,SMOTE,LR
17,"var2,var5",0.9509025221836116,0.5997588303270863,0.7292315854598977,0.5366471951788939,2.2167813028224037,mean,stdscl,SMOTE,LR
18,"var2,var6",0.9509032315705152,0.5997755782210387,0.7292445799379313,0.5376694293032179,2.2178172408116645,mean,stdscl,SMOTE,LR
19,"var2,var7",0.950823658436687,0.6499187727143312,0.7671527761096489,0.5395240026265211,2.2575004371728573,mean,stdscl,SMOTE,LR
20,"var2,var8",0.9522109507366616,0.6650756167411948,0.7780288187317574,0.5619046181433377,2.292144387611757,mean,stdscl,SMOTE,LR
21,"var3,var4",0.9574305558453442,0.9352191461923663,0.945707939553768,0.6447162188605686,2.5478547142596812,mean,stdscl,SMOTE,LR
22,"var3,var5",0.9513219940426784,0.8183690900869216,0.8782577491206068,0.5117004670046033,2.341280210167888,mean,stdscl,SMOTE,LR
23,"var3,var6",0.9513219940426784,0.8183690900869216,0.8782577491206068,0.5125548561050927,2.3421345992683777,mean,stdscl,SMOTE,LR
24,"var3,var7",0.9516918704090982,0.8110837562176556,0.8739436049168984,0.5249024730497625,2.3505379483757594,mean,stdscl,SMOTE,LR
25,"var3,var8",0.951464010994965,0.7357349813260983,0.8266049700666322,0.5595859671642508,2.337654948225848,mean,stdscl,SMOTE,LR
26,"var4,var5",0.9573431802650696,0.9365254819206484,0.9463805593045672,0.6373843993788613,2.5411081389484984,mean,stdscl,SMOTE,LR
27,"var4,var6",0.9573431802650696,0.9365254819206484,0.9463805593045672,0.6382637031997889,2.541987442769426,mean,stdscl,SMOTE,LR
28,"var4,var7",0.9570101301618206,0.9226582257281148,0.938712648826716,0.6481112881597333,2.54383406714827,mean,stdscl,SMOTE,LR
29,"var4,var8",0.9564687376904796,0.8852936743204542,0.9178070163337929,0.6598503841986805,2.534126138222953,mean,stdscl,SMOTE,LR
30,"var5,var6",0.950248061532432,0.9431409000318209,0.9466772651541948,0.4893594412144218,2.3862847679010484,mean,stdscl,SMOTE,LR
31,"var5,var7",0.9517822429013456,0.9499405449764692,0.9508591248920366,0.5039132103450844,2.4065545781384667,mean,stdscl,SMOTE,LR
32,"var5,var8",0.9505832315233136,0.7836172101358254,0.8571123837608154,0.5483677159159951,2.3560633312001245,mean,stdscl,SMOTE,LR
33,"var6,var7",0.9517822429013456,0.9499405449764692,0.9508591248920366,0.5064312768827015,2.4090726446760837,mean,stdscl,SMOTE,LR
34,"var6,var8",0.9505832315233136,0.7836172101358254,0.8571123837608154,0.5489398340623243,2.3566354493464536,mean,stdscl,SMOTE,LR
35,"var7,var8",0.95048282247211,0.7894454772312381,0.8606989603725181,0.5501298499313501,2.361311632775978,mean,stdscl,SMOTE,LR
36,var1,0.0006252303047540487,0.02500460567083689,0.0012199560885774805,0.4700684811378941,0.4719136675312257,mean,stdscl,SMOTE,DT
37,var2,0.9672898546141179,0.2359778257884071,0.35027736943103016,0.5947340796834772,1.9123013037286252,mean,stdscl,SMOTE,DT
38,var3,0.9687004245167222,0.09904704483411213,0.13977577859535975,0.5133223226874973,1.6217985257995795,mean,stdscl,SMOTE,DT
39,var4,0.9661148009650568,0.2888676748898826,0.4192003081304945,0.5295813724088806,1.914896481504432,mean,stdscl,SMOTE,DT
40,var5,0.9678236464677634,0.057914217287176134,0.0654020382454159,0.5119419631865476,1.545167647899727,mean,stdscl,SMOTE,DT
41,var6,0.9659834153447814,0.04989197608400744,0.05023951572626872,0.50783246672369,1.52405539779474,mean,stdscl,SMOTE,DT
42,var7,0.9518165046725048,0.9500075365522784,0.9509098038785232,0.5127291613531371,2.415455469904165,mean,stdscl,SMOTE,DT
43,var8,0.9648067727143896,0.2976770671088111,0.4303698293477229,0.5897224241273992,1.9848990261895116,mean,stdscl,SMOTE,DT
44,"var1,var2",0.9718752380077909,0.09350349193588907,0.12973354659211478,0.5710757319140646,1.6726845165139699,mean,stdscl,SMOTE,DT
45,"var1,var3",0.9521555465514624,0.7897469393223802,0.8609992269549596,0.5199544705487871,2.333109244055209,mean,stdscl,SMOTE,DT
46,"var1,var4",0.9661083777710056,0.2821852652029007,0.41085612374755603,0.6373435153063248,2.0143080168248866,mean,stdscl,SMOTE,DT
47,"var1,var5",0.9587408433695916,0.06980522199333432,0.08830159389952208,0.4822561341871061,1.5292985714562195,mean,stdscl,SMOTE,DT
48,"var1,var6",0.9563700633500588,0.06491483695925238,0.0793617629197606,0.479381294145249,1.5151131204150683,mean,stdscl,SMOTE,DT
49,"var1,var7",0.9460527042639074,0.04938953926543737,0.05025077254295902,0.4707059321126735,1.46700940891954,mean,stdscl,SMOTE,DT
50,"var1,var8",0.9617791230821487,0.1039541777621464,0.14914868122517347,0.4875891787068065,1.5985169830141288,mean,stdscl,SMOTE,DT
51,"var2,var3",0.9666371984731574,0.28319013884004085,0.4119943120265793,0.6067662616556712,1.9853977721554084,mean,stdscl,SMOTE,DT
52,"var2,var4",0.9669751792806268,0.34606173273710833,0.486869411158397,0.6673374504041166,2.1211820408431405,mean,stdscl,SMOTE,DT
